Subclass or group,score,generic explanation score,general recommendation,detailed recommendation
Hard substrate benthic habitat,5,"colonisation of benthic species in the farm area is very positive. maximum score","improve benthic knowledge of the area"
Soft substrate benthic habitat,5,"colonisation of benthic species in the farm area is very positive. maximum score",
Particular habitat,5,"colonisation of benthic species in the farm area is very positive. maximum score",
Shallow diving birds,5,"colonisation of benthic species in the farm area is very positive. maximum score",
Medium diving birds,5,"colonisation of benthic species in the farm area is very positive. maximum score",
Deep diving birds,5,"colonisation of benthic species in the farm area is very positive. maximum score",
Fishes,5,"colonisation of benthic species in the farm area is very positive. maximum score",
Elasmobranchs,5,"colonisation of benthic species in the farm area is very positive. maximum score",
Large odontocete_Mysticete,5,"colonisation of benthic species in the farm area is very positive. maximum score",
Odontoncete_dolphinds,5,"colonisation of benthic species in the farm area is very positive. maximum score",
Seals,5,"colonisation of benthic species in the farm area is very positive. maximum score",
